Country Name,Country Code,Series Name,Series Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United States,USA,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,20729.54166,20967.15346,21927.93321,23013.60971,21824.80784,21422.81331,22345.36509,23068.22931,24112.21229,23786.06085,23037.95958,23817.05307,23594.19522,24145.62529,26021.80077,26822.68935,27500.05364,28266.96954,29660.01457,30112.76358,30160.71809,29847.49207,30502.26203,30793.48972,31823.56449,32519.98093,33574.72155,35038.8522,36715.20932,37819.57034,38859.14414,38958.40218,39220.89987,39726.28301,40749.48217,41593.58004,42676.21453,42262.41242,40818.27795,39945.12049,40990.38937,41605.32675,42790.49608,43032.11753,44111.92092,45409.21121,45541.66642
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,5246.883717,5623.443978,6109.925868,6741.332364,7242.441105,7820.065471,8611.401839,9471.306172,10587.28576,11695.55442,12597.66751,13993.16674,14438.97628,15561.4264,17134.28602,18269.42217,19115.05291,20100.85889,21483.23306,22922.43709,23954.47935,24405.16481,25492.95165,26464.85251,27776.63553,28782.17502,30068.23092,31572.69023,32949.19776,34620.9289,36449.85512,37273.6181,38166.03784,39677.19835,41921.80976,44307.92058,46437.06712,48061.53766,48401.42734,47001.55535,48373.87882,49790.66548,51450.1223,52787.02695,54706.8682,56469.00897,57638.15909
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.80731707,71.10731707,71.15609756,71.35609756,71.95609756,72.60487805,72.85609756,73.25609756,73.35609756,73.80487805,73.6097561,74.0097561,74.36097561,74.46341463,74.56341463,74.56341463,74.61463415,74.76585366,74.76585366,75.01707317,75.21463415,75.36585366,75.61707317,75.4195122,75.6195122,75.62195122,76.02682927,76.42926829,76.5804878,76.58292683,76.63658537,76.83658537,76.93658537,77.03658537,77.48780488,77.48780488,77.68780488,77.98780488,78.03902439,78.3902439,78.54146341,78.64146341,78.74146341,78.74146341,78.84146341,78.6902439,78.6902439
